,Word,Is not important
298,ไกลๆ,0
299,ไหนๆ,0
300,กระทำ,0
301,กระผม,0
302,กลุ่ม,0
303,กล่าว,0
304,กว้าง,0
305,กันนะ,0
306,กำลัง,0
307,กำหนด,0
308,ก็คือ,0
309,ก็ตาม,0
310,ก็แค่,0
311,ก็ได้,0
312,ก่อนๆ,0
313,ขณะใด,0
314,ขวางๆ,0
315,ข้างๆ,0
316,ครั้ง,0
317,คราวๆ,0
318,คราใด,0
319,คล้าย,0
320,ค่อยๆ,0
321,ง่ายๆ,0
322,จนถึง,0
323,จนแม้,0
324,จริงๆ,0
325,จวนจะ,0
326,จวบจน,0
327,จะได้,0
328,จัดทำ,0
329,จัดหา,0
330,จำพวก,0
331,จึงจะ,0
332,ฉะนี้,0
333,ช่วงๆ,0
334,ซึ่งๆ,0
335,ตนเอง,0
336,ต่างๆ,0
337,ถึงจะ,0
338,ถ้าจะ,0
339,ทันที,0
340,ทั้งๆ,0
341,ทำให้,0
342,ที่ละ,0
343,ที่ใด,0
344,ทุกคน,0
345,ทุกที,0
346,ทุกหน,0
347,นั้นๆ,0
348,นี่นา,0
349,นี่ไง,0
350,น่าจะ,0
351,น้อยๆ,0
352,บัดดล,0
353,บางที,0
354,บ่อยๆ,0
355,ประสบ,0
356,ปรากฏ,0
357,ผู้ใด,0
358,ผ่านๆ,0
359,พบว่า,0
360,พร้อม,0
361,พวกกู,0
362,พวกแก,0
363,พอกัน,0
364,พอควร,0
365,พอตัว,0
366,พอที่,0
367,พื้นๆ,0
368,ภายใน,0
369,มักจะ,0
370,มิใช่,0
371,มิได้,0
372,มีแต่,0
373,ยกให้,0
374,ยังคง,0
375,ยังจะ,0
376,ยังไง,0
377,ยืนยง,0
378,ระยะๆ,0
379,รึว่า,0
380,วันใด,0
381,สั้นๆ,0
382,สำคัญ,0
383,หนึ่ง,0
384,หน่อย,0
385,หารือ,0
386,หาใช่,0
387,อนึ่ง,0
388,อย่าง,0
389,อันจะ,0
390,อันละ,0
391,อันใด,0
392,อาจจะ,0
393,อื่นๆ,0
394,เกินๆ,0
395,เกือบ,0
396,เขียน,0
397,เฉพาะ,0
398,เชื่อ,0
399,เดียว,0
400,เต็มๆ,0
401,เนี่ย,0
402,เป็นๆ,0
403,เผื่อ,0
404,เพราะ,0
405,เพิ่ง,0
406,เพิ่ม,0
407,เพียง,0
408,เพื่อ,0
409,เมื่อ,0
410,เยอะๆ,0
411,เริ่ม,0
412,เรียก,0
413,เรียบ,0
414,เร็วๆ,0
415,เล็กๆ,0
416,เสร็จ,0
417,เหลือ,0
418,เหล่า,0
419,แก้ไข,0
420,แค่จะ,0
421,แต่ก็,0
422,แต่จะ,0
423,แต่ละ,0
424,แต่ไร,0
425,ใกล้ๆ,0
426,ในที่,0
427,ใหญ่ๆ,0
428,ใหม่ๆ,0
429,ให้ดี,0
430,ให้มา,0
431,ให้ไป,0
432,ได้มา,0
433,กลุ่มๆ,0
434,กว้างๆ,0
435,กันเอง,0
436,กันไหม,0
437,ขณะที่,0
438,ขณะนี้,0
439,ขณะใดๆ,0
440,ข้างบน,0
441,คงอยู่,0
442,ครั้งๆ,0
443,คราที่,0
444,ครานี้,0
445,คราวละ,0
446,คราวใด,0
447,คราไหน,0
448,คิดว่า,0
449,จนกว่า,0
450,จนตลอด,0
451,จนทั่ว,0
452,จนแม้น,0
453,จรดกับ,0
454,จวบกับ,0
455,จัดการ,0
456,จัดงาน,0
457,จัดแจง,0
458,จัดให้,0
459,จากนี้,0
460,จำเป็น,0
461,ฉะนั้น,0
462,ช้านาน,0
463,ซะก่อน,0
464,ซึ่งก็,0
465,ดังกับ,0
466,ดังเคย,0
467,ตลอดจน,0
468,ตลอดปี,0
469,ตลอดมา,0
470,ตลอดศก,0
471,ตลอดไป,0
472,ตามที่,0
473,ตามแต่,0
474,ต่อกัน,0
475,ต่างก็,0
476,ถึงแก่,0
477,ถึงแม้,0
478,ถือว่า,0
479,ถ้าหาก,0
480,ทั้งคน,0
481,ทั้งที,0
482,ทีเถอะ,0
483,ที่นี้,0
484,ที่ว่า,0
485,ที่สุด,0
486,ที่แท้,0
487,ที่ได้,0
488,ที่ไหน,0
489,ทุกครา,0
490,ทุกตัว,0
491,ทุกทาง,0
492,ทุกที่,0
493,ทุกวัน,0
494,ทุกอัน,0
495,ทําให้,0
496,นอกจาก,0
497,นับแต่,0
498,นั่นไง,0
499,นั้นไว,0
500,นางสาว,0
501,นี่เอง,0
502,นี้เอง,0
503,บอกว่า,0
504,บัดนี้,0
505,บางขณะ,0
506,บางครา,0
507,บางที่,0
508,ประกอบ,0
509,ประการ,0
510,ประมาณ,0
511,ฝ่ายใด,0
512,พยายาม,0
513,พวกกัน,0
514,พวกคุณ,0
515,พวกฉัน,0
516,พวกที่,0
517,พวกนี้,0
518,พวกมัน,0
519,พวกมึง,0
520,พวกเขา,0
521,พวกเธอ,0
522,พอแล้ว,0
523,ภายนอก,0
524,ภายภาค,0
525,ภายใต้,0
526,มองว่า,0
527,มั้ยนะ,0
528,มากมาย,0
529,ยอมรับ,0
530,ยังงี้,0
531,ยังแต่,0
532,ยาวนาน,0
533,ยิ่งจน,0
534,ยิ่งจะ,0
535,ยืนนาน,0
536,ยืนยัน,0
537,ยืนยาว,0
538,รวมกัน,0
539,รวมถึง,0
540,รับรอง,0
541,รือว่า,0
542,ล่าสุด,0
543,ล้วนจน,0
544,วันนี้,0
545,วันไหน,0
546,สามารถ,0
547,สิ่งใด,0
548,สูงสุด,0
549,สูงส่ง,0
550,ส่วนดี,0
551,ส่วนใด,0
552,หมดกัน,0
553,หรือไง,0
554,หรือไร,0
555,หากว่า,0
556,หากแม้,0
557,หาความ,0
558,อย่างๆ,0
559,อันที่,0
560,อันไหน,0
561,เกือบๆ,0
562,เข้าใจ,0
563,เช่นใด,0
564,เช่นไร,0
565,เท่าใด,0
566,เท่าไร,0
567,เป็นที,0
568,เรื่อย,0
569,เสียจน,0
570,เหตุผล,0
571,เหตุไร,0
572,เห็นจะ,0
573,แค่นี้,0
574,แค่ว่า,0
575,แค่ไหน,0
576,แต่ถ้า,0
577,แต่ที่,0
578,แต่ว่า,0
579,แต่ไหน,0
580,แม้ว่า,0
581,แม้แต่,0
582,แห่งใด,0
583,ใคร่จะ,0
584,ใช่ไหม,0
585,ในช่วง,0
586,ใหญ่โต,0
587,ให้แก่,0
588,ให้แด่,0
589,ได้ที่,0
590,ได้รับ,0
591,ได้แก่,0
592,ได้แต่,0
593,ไม่ว่า,0
594,ไม่ใช่,0
595,กระทั่ง,0
596,กระนั้น,0
597,กันเถอะ,0
598,กำลังจะ,0
599,ก็ตามที,0
600,ขณะนั้น,0
601,ข้างต้น,0
602,ครบครัน,0
603,ครบถ้วน,0
604,ครั้งละ,0
605,ครั้งใด,0
606,ครานั้น,0
607,คราวที่,0
608,คราวนี้,0
609,คราวไหน,0
610,จนเมื่อ,0
611,จริงจัง,0
612,จัดตั้ง,0
613,จากนั้น,0
614,จึงเป็น,0
615,ช่วงที่,0
616,ช่วงนี้,0
617,ช่วงแรก,0
618,ซะจนถึง,0
619,ซึ่งกัน,0
620,ดังเก่า,0
621,ดั่งกับ,0
622,ดั่งเคย,0
623,ด้วยกัน,0
624,ด้วยที่,0
625,ด้วยว่า,0
626,ตลอดกาล,0
627,ตลอดถึง,0
628,ตลอดวัน,0
629,ตั้งแต่,0
630,ตามด้วย,0
631,ต่างหาก,0
632,ถูกต้อง,0
633,ทั้งตัว,0
634,ทั้งที่,0
635,ทั้งนี้,0
636,ทั้งปวง,0
637,ทั้งมวล,0
638,ทั้งหมด,0
639,ทีเดียว,0
640,ที่จริง,0
641,ที่ซึ่ง,0
642,ที่นั้น,0
643,ที่แล้ว,0
644,ทุกคราว,0
645,ทุกชิ้น,0
646,ทุกสิ่ง,0
647,ทุกแห่ง,0
648,นอกนั้น,0
649,นั่นเอง,0
650,นี่แน่ะ,0
651,นี่แหละ,0
652,นี้แหล่,0
653,บอกแล้ว,0
654,บัดนั้น,0
655,บางกว่า,0
656,บางคราว,0
657,บางแห่ง,0
658,ปฏิบัติ,0
659,พวกท่าน,0
660,พวกนั้น,0
661,พวกนู้น,0
662,พวกโน้น,0
663,พอสมควร,0
664,พอเพียง,0
665,พอเหมาะ,0
666,ภายหน้า,0
667,ภายหลัง,0
668,มั้ยล่ะ,0
669,มากกว่า,0
670,ยังงั้น,0
671,ยังโง้น,0
672,ยิ่งนัก,0
673,รวดเร็ว,0
674,รวมด้วย,0
675,รวมทั้ง,0
676,ระหว่าง,0
677,ร่วมกัน,0
678,ร่วมมือ,0
679,ล้วนแต่,0
680,วันนั้น,0
681,สมัยนี้,0
682,สิ่งนี้,0
683,สิ่งไหน,0
684,สูงกว่า,0
685,ส่วนที่,0
686,ส่วนมาก,0
687,สําหรับ,0
688,หมดสิ้น,0
689,หรือยัง,0
690,หรือไม่,0
691,หลังจาก,0
692,หากแม้น,0
693,อย่างดี,0
694,อย่างละ,0
695,อย่างใด,0
696,อย่างไร,0
697,อาจเป็น,0
698,เกี่ยวๆ,0
699,เกือบจะ,0
700,เฉกเช่น,0
701,เช่นกัน,0
702,เช่นดัง,0
703,เช่นที่,0
704,เช่นนี้,0
705,เช่นเคย,0
706,เท่ากัน,0
707,เท่ากับ,0
708,เท่าที่,0
709,เท่านี้,0
710,เปลี่ยน,0
711,เปิดเผย,0
712,เป็นการ,0
713,เป็นดัง,0
714,เป็นต้น,0
715,เป็นที่,0
716,เป็นอัน,0
717,เป็นแต่,0
718,เผื่อจะ,0
719,เพิ่งจะ,0
720,เพียงพอ,0
721,เพียงใด,0
722,เพียงไร,0
723,เมื่อใด,0
724,เมื่อไร,0
725,เยอะแยะ,0
726,เรื่อยๆ,0
727,เล่าว่า,0
728,เสียนี่,0
729,เหตุนี้,0
730,เห็นควร,0
731,เห็นว่า,0
732,เห็นแก่,0
733,แค่นั้น,0
734,แต่ก่อน,0
735,แต่ต้อง,0
736,แต่ทว่า,0
737,แต่นั้น,0
738,แต่เดิม,0
739,แท้จริง,0
740,แม้นว่า,0
741,แล้วกัน,0
742,แล้วแต่,0
743,แสดงว่า,0
744,แห่งนี้,0
745,แห่งไหน,0
746,ในเมื่อ,0
747,ไม่ค่อย,0
748,กล่าวคือ,0
749,กันดีไหม,0
750,ก็ตามแต่,0
751,ก่อนหน้า,0
752,ขณะหนึ่ง,0
753,ข้างล่าง,0
754,ข้าพเจ้า,0
755,ครั้งครา,0
756,ครั้งที่,0
757,ครั้งนี้,0
758,ครั้งไหน,0
759,คราวก่อน,0
760,คราวนั้น,0
761,คราวหน้า,0
762,คราวหลัง,0
763,คราวโน้น,0
764,คราหนึ่ง,0
765,คล้ายกัน,0
766,คล้ายกับ,0
767,คล้ายว่า,0
768,ค่อนข้าง,0
769,จนขณะนี้,0
770,จนบัดนี้,0
771,จวนเจียน,0
772,จากนี้ไป,0
773,ช่วงก่อน,0
774,ช่วงท้าย,0
775,ช่วงนั้น,0
776,ช่วงหน้า,0
777,ช่วงหลัง,0
778,ดังกล่าว,0
779,ดั่งเก่า,0
780,ตลอดทั่ว,0
781,ตลอดทั้ง,0
782,ตลอดเวลา,0
783,ถึงเมื่อ,0
784,ถึงแม้จะ,0
785,ทั้งนั้น,0
786,ทั้งสิ้น,0
787,ทั้งหลาย,0
788,ทั้งเป็น,0
789,ทุกครั้ง,0
790,ทุกอย่าง,0
791,ทุกเมื่อ,0
792,นอกเหนือ,0
793,นั่นเป็น,0
794,นั่นแหละ,0
795,นิดหน่อย,0
796,น้อยกว่า,0
797,บางครั้ง,0
798,บ่อยกว่า,0
799,ประการใด,0
800,ปรากฏว่า,0
801,ปัจจุบัน,0
802,พร้อมกัน,0
803,พร้อมกับ,0
804,พร้อมที่,0
805,มั้ยนั่น,0
806,มิฉะนั้น,0
807,มุ่งหมาย,0
808,มุ่งเน้น,0
809,ยิ่งกว่า,0
810,ยิ่งขึ้น,0
811,ยิ่งแล้ว,0
812,ยิ่งใหญ่,0
813,ร่วมด้วย,0
814,สมัยก่อน,0
815,สมัยนั้น,0
816,สมัยโน้น,0
817,สิ่งนั้น,0
818,ส่วนด้อย,0
819,ส่วนนั้น,0
820,ส่วนน้อย,0
821,ส่วนเกิน,0
822,ส่วนใหญ่,0
823,อย่างที่,0
824,อย่างนี้,0
825,อย่างมาก,0
826,อย่างไหน,0
827,อันที่จะ,0
828,เชื่อถือ,0
829,เชื่อว่า,0
830,เช่นก่อน,0
831,เช่นนั้น,0
832,เดียวกัน,0
833,เท่านั้น,0
834,เท่าไหร่,0
835,เนี่ยเอง,0
836,เป็นด้วย,0
837,เป็นอันๆ,0
838,เป็นอาทิ,0
839,เผื่อที่,0
840,เผื่อว่า,0
841,เพราะว่า,0
842,เพียงแค่,0
843,เพียงแต่,0
844,เพียงไหน,0
845,เพื่อที่,0
846,เพื่อว่า,0
847,เพื่อให้,0
848,เมื่อคืน,0
849,เมื่อนี้,0
850,เมื่อวาน,0
851,เล็กน้อย,0
852,เสร็จกัน,0
853,เสียก่อน,0
854,เสียด้วย,0
855,เสียนั่น,0
856,เสียยิ่ง,0
857,เสียแล้ว,0
858,เหตุนั้น,0
859,เหล่านี้,0
860,แค่เพียง,0
861,แต่เพียง,0
862,แต่เมื่อ,0
863,แห่งนั้น,0
864,แห่งโน้น,0
865,กลุ่มก้อน,0
866,กว้างขวาง,0
867,กันดีกว่า,0
868,กันและกัน,0
869,ก็แล้วแต่,0
870,ข้างเคียง,0
871,ครั้งก่อน,0
872,ครั้งคราว,0
873,ครั้งนั้น,0
874,ครั้งหลัง,0
875,คราวหนึ่ง,0
876,ค่อนมาทาง,0
877,ค่อยไปทาง,0
878,จนกระทั่ง,0
879,จริงๆจังๆ,0
880,ช่วงต่อไป,0
881,ช่วงถัดไป,0
882,ซึ่งก็คือ,0
883,ดังกับว่า,0
884,ด้วยเพราะ,0
885,ถึงบัดนี้,0
886,ถึงแม้ว่า,0
887,ทันใดนั้น,0
888,ทุกวันนี้,0
889,นอกจากที่,0
890,นอกจากนี้,0
891,นอกจากว่า,0
892,นับจากนี้,0
893,นับแต่ที่,0
894,นับแต่นี้,0
895,บ่อยครั้ง,0
896,พร้อมด้วย,0
897,พร้อมทั้ง,0
898,มั้ยเนี่ย,0
899,ยิ่งเมื่อ,0
900,สืบเนื่อง,0
901,หรือเปล่า,0
902,อย่างนั้น,0
903,อย่างน้อย,0
904,อย่างยิ่ง,0
905,อย่างเช่น,0
906,อย่างโน้น,0
907,อย่างไรก็,0
908,อันได้แก่,0
909,เกี่ยวกัน,0
910,เกี่ยวกับ,0
911,เชื่อมั่น,0
912,เช่นเมื่อ,0
913,เต็มไปหมด,0
914,เนื่องจาก,0
915,เป็นต้นมา,0
916,เป็นต้นไป,0
917,เป็นเพราะ,0
918,เป็นเพียง,0
919,เป็นเพื่อ,0
920,เพิ่มเติม,0
921,เมื่อก่อน,0
922,เมื่อคราว,0
923,เมื่อนั้น,0
924,เมื่อเช้า,0
925,เมื่อเย็น,0
926,เมื่อไหร่,0
927,เสมือนกับ,0
928,เสมือนว่า,0
929,เสร็จสิ้น,0
930,เสร็จแล้ว,0
931,เสียจนถึง,0
932,เหลือเกิน,0
933,เหล่านั้น,0
934,แล้วเสร็จ,0
935,ในระหว่าง,0
936,ไม่ค่อยจะ,0
937,ไม่เป็นไร,0
938,ก็ต่อเมื่อ,0
939,ครั้งหนึ่ง,0
940,ค่อนข้างจะ,0
941,ซึ่งได้แก่,0
942,ดั่งกับว่า,0
943,ตลอดกาลนาน,0
944,ถึงบัดนั้น,0
945,ถึงอย่างไร,0
946,ถึงเมื่อใด,0
947,ถึงเมื่อไร,0
948,ทันทีทันใด,0
949,ที่แท้จริง,0
950,นอกจากนั้น,0
951,นับจากนั้น,0
952,นับตั้งแต่,0
953,นับแต่นั้น,0
954,พร้อมเพียง,0
955,ภายภาคหน้า,0
956,ยิ่งขึ้นไป,0
957,สิ้นกาลนาน,0
958,หากแม้นว่า,0
959,อย่างหนึ่ง,0
960,อย่างเดียว,0
961,อันที่จริง,0
962,เกี่ยวข้อง,0
963,เช่นดังที่,0
964,เช่นดังว่า,0
965,เช่นที่ว่า,0
966,เช่นที่เคย,0
967,เต็มไปด้วย,0
968,เป็นที่สุด,0
969,เป็นอันมาก,0
970,เป็นอันว่า,0
971,เพียงเพราะ,0
972,เพียงเพื่อ,0
973,เพื่อที่จะ,0
974,เมื่อครั้ง,0
975,แต่อย่างใด,0
976,แม้กระทั่ง,0
977,ก่อนหน้านี้,0
978,ขณะเดียวกัน,0
979,คล้ายกันกับ,0
980,คล้ายกับว่า,0
981,ช่วงระหว่าง,0
982,ซะจนกระทั่ง,0
983,ด้วยเช่นกัน,0
984,ด้วยเหตุที่,0
985,ด้วยเหตุนี้,0
986,ด้วยเหตุว่า,0
987,ตลอดทั่วถึง,0
988,ที่แห่งนั้น,0
989,นอกเหนือจาก,0
990,ประการฉะนี้,0
991,ประการหนึ่ง,0
992,อย่างไรเสีย,0
993,อาจเป็นด้วย,0
994,เช่นดังก่อน,0
995,เช่นดังเก่า,0
996,เช่นนั้นเอง,0
997,เปลี่ยนแปลง,0
998,เพราะฉะนั้น,0
999,เมื่อวันวาน,0
1000,เสียนั่นเอง,0
1001,เสียยิ่งนัก,0
1002,ไม่ค่อยเป็น,0
1003,ครั้งกระนั้น,0
1004,ครั้งหลังสุด,0
1005,ด้วยเหตุนั้น,0
1006,ตลอดทั่วทั้ง,0
1007,ตลอดระยะเวลา,0
1008,ทั้งนั้นด้วย,0
1009,บัดเดี๋ยวนี้,0
1010,อย่างไรก็ได้,0
1011,เกี่ยวเนื่อง,0
1012,เช่นเดียวกัน,0
1013,เช่นเดียวกับ,0
1014,เป็นเพราะว่า,0
1015,เป็นเพียงว่า,0
1016,เป็นแต่เพียง,0
1017,เมื่อคราวที่,0
1018,เสร็จสมบูรณ์,0
1019,เสียนี่กระไร,0
1020,ซึ่งกันและกัน,0
1021,ด้วยเหตุเพราะ,0
1022,ด้วยเหมือนกัน,0
1023,ทั้งนั้นเพราะ,0
1024,เมื่อคราวก่อน,0
1025,เสียจนกระทั่ง,0
1026,อันเนื่องมาจาก,0
1027,เมื่อครั้งก่อน,0
1028,ด้วยประการฉะนี้,0
1029,0,0
1030,1,0
1031,2,0
1032,3,0
1033,4,0
1034,5,0
1035,6,0
1036,7,0
1037,8,0
1038,9,0
1039,ก.,0
1040,ก.ก.,0
1041,กก,0
1042,กก.,0
1043,ก๊ก,0
1044,กกช.,0
1045,ก.ก.ต.,0
1046,กก.ต.,0
1047,กกต.,0
1048,กกท.,0
1049,ก.ก.ผจก.,0
1050,กก.สด.,0
1051,กก.สส.,0
1052,กก.สส.น,0
1053,กกุธ,0
1054,กขว.,0
1055,ก.ค.,0
1056,กค.,0
1057,กคช.,0
1058,กง,0
1059,ก้ง,0
1060,ก๊ง,0
1061,ก๋ง,0
1062,กจ.,0
1063,กช,0
1064,กช.,0
1065,กฎ,0
1066,กฏ,0
1067,กฏา,0
1068,กฏิ,0
1069,กฏุก,0
1070,กฐิ,0
1071,กฐิน,0
1072,กณฑ์,0
1073,กณิ,0
1074,กณิก,0
1075,กด,0
1076,กต,0
1077,กต.,0
1078,กตัญ,0
1079,กตา,0
1080,กติ,0
1081,กถา,0
1082,กถิ,0
1083,กท.,0
1084,กทก.,0
1085,กทช.,0
1086,กทพ.,0
1087,กทม.,0
1088,ก่น,0
1089,ก้น,0
1090,กนก,0
1091,กนข.,0
1092,กนน,0
1093,กนร.,0
1094,กนศ.,0
1095,กนอ.,0
1096,กนิษ,0
1097,กนิษฐ,0
1098,กนิษฐ์,0
1099,กบ,0
1100,กบข,0
1101,กบข.,0
1102,กบง.,0
1103,ก.บช.,0
1104,กบฎ,0
1105,กบฏ,0
1106,กบถ.,0
1107,ก.บ.ม.,0
1108,กบว.,0
1109,กบาล,0
1110,กบินทร์,0
1111,กบิล,0
1112,กบี่,0
1113,กบูร,0
1114,กเบน,0
1115,กเบนทร์,0
1116,กโบร,0
1117,กโบล,0
1118,กป,0
1119,กป.,0
1120,กปช.,0
1121,กปพ.,0
1122,กปภ.,0
1123,กปร.,0
1124,กปส.,0
1125,ก.พ.,0
1126,กพ.,0
1127,กพช.,0
1128,กพด.,0
1129,กพอ.,0
1130,กฟน.,0
1131,กฟผ.,0
1132,กฟภ.,0
1133,ก.ม.,0
1134,กม,0
1135,กม.,0
1136,ก้ม,0
1137,กมณ,0
1138,กมธ.,0
1139,กมล,0
1140,กมัณ,0
1141,กมุท,0
1142,ก.ย.,0
1143,กย,0
1144,กย.,0
1145,กร,0
1146,กรก,0
1147,กรง,0
1148,กรช,0
1149,กรณ์,0
1150,กรณฑ์,0
1151,กรด,0
1152,กรน,0
1153,กรบ,0
1154,กรม,0
1155,กรม์,0
1156,กรร,0
1157,กรรจ์,0
1158,กรรฐ์,0
1159,กรรณ,0
1160,กรรณ์,0
1161,กรรถ,0
1162,กรรม,0
1163,กรรม์,0
1164,กรรย์,0
1165,กรวด,0
1166,กรวบ,0
1167,กรวม,0
1168,กร้วม,0
1169,กรวย,0
1170,กรอ,0
1171,กรอ.,0
1172,กร้อ,0
1173,กรอก,0
1174,กรอง,0
1175,กรอด,0
1176,กรอ.ทป.,0
1177,กร่อน,0
1178,กรอบ,0
1179,กรอม,0
1180,กร่อย,0
1181,กระ,0
1182,กรัก,0
1183,กรัง,0
1184,กรังด์,0
1185,กรัณฑ์,0
1186,กรัน,0
1187,กรันจ์,0
1188,กรับ,0
1189,กรัม,0
1190,กรัย,0
1191,กรา,0
1192,กร้า,0
1193,กราก,0
1194,กร่าง,0
1195,กราด,0
1196,กราน,0
1197,กร้าน,0
1198,กรานต์,0
1199,กราบ,0
1200,กราฟ,0
1201,กราฟท์,0
1202,กราฟฟ์,0
1203,กราม,0
1204,กราย,0
1205,กราว,0
1206,กร้าว,0
1207,กราวด์,0
1208,กราวน์,0
1209,กราส์,0
1210,กรำ,0
1211,กริ,0
1212,กริ๊ก,0
1213,กริ่ง,0
1214,กริ๊ง,0
1215,กริช,0
1216,กริซ,0
1217,กริบ,0
1218,กริฟ,0
1219,กริม,0
1220,กริ่ม,0
1221,กริมส์,0
1222,กริลล์,0
1223,กริ้ว,0
1224,กริศน์,0
1225,กรี,0
1226,กรีก,0
1227,กรีซ,0
